"parameter","mean_1PT","sd_1PT","q2.5_1PT","q97.5_1PT","mean_2PT","sd_2PT","q2.5_2PT","q97.5_2PT","mean_3PT","sd_3PT","q2.5_3PT","q97.5_3PT"
"Intercept (center)",0.456676999389372,0.427803414498434,-0.332687994601429,1.32887091068166,0.232877412552222,0.172255071413344,-0.114729111537623,0.559190993264593,-3.43418738181409,2.89172104902328,-9.65744735862424,1.68255721561163
"Home",0.0447877849627462,0.0992900104726706,-0.147712236119887,0.24555873351523,0.0668336983967089,0.0556111621511918,-0.0406010863224343,0.175313292378693,-0.0596097408714231,0.131728352588595,-0.320643780268922,0.201844806186707
"Power forward",0.45183867512819,0.517687834912295,-0.586524343279115,1.51688585504954,-0.386141094614673,0.213745281319861,-0.797896610641781,0.0294188919666136,2.32309072266083,2.90955599165478,-2.87629046773505,8.59782602279976
"Point guard",0.69909623562107,0.540514861985908,-0.430845796644663,1.67377191993466,-0.27405902318502,0.228523793241727,-0.711602328954079,0.168353404209558,2.72599630971624,2.90370727781095,-2.42139220722672,8.99910056036027
"Small forward",1.27082671317952,0.730231819737793,-0.300300564750037,2.66310247885037,-0.49289970301659,0.299618190658457,-1.07211165433796,0.12301707415868,3.14453737760821,2.92346664318931,-2.10924456202134,9.5952325622024
"Shooting guard",0.92423472990492,0.585178403322317,-0.239549077030944,2.07948919148143,-0.507442219957305,0.248954666028901,-0.997635685166296,-0.00405372642272212,2.57812850760406,2.93139439218376,-2.57831056000146,8.95174988102065
"Player SD",0.474739832699135,0.239270176467886,0.175011434897303,1.05304226967129,0.190367871251414,0.0932276678128033,0.0587122255563248,0.416273150826256,0.301932605822304,0.350890147953138,0.0117446614818621,1.16343511723001
