"parameter","mean_1PT","sd_1PT","q2.5_1PT","q97.5_1PT","mean_2PT","sd_2PT","q2.5_2PT","q97.5_2PT","mean_3PT","sd_3PT","q2.5_3PT","q97.5_3PT"
"Intercept (center)",0.246337828914969,0.829611754595528,-1.26844877174094,2.1099495212053,0.59060010806398,0.398152451225429,-0.195554416482996,1.33994005681521,-5.89973316444054,1.70268135519844,-9.58681417073169,-2.80994255308058
"Fouls/minutes effect",0.22671630993315,0.00929885952927184,0.208006863190656,0.24460978374044,0.0402151996614406,0.00211375823599897,0.0361168092065928,0.0443301450296912,0.0301002261862609,0.00484628151425525,0.020670908840484,0.0392576232553439
"Power forward",-0.810500080234953,1.05026234623634,-3.06124908704247,1.04597903956697,-0.063981858424959,0.48562131643816,-1.01593243022077,0.918676628761448,2.47106967528178,2.0757630264002,-1.75753030413601,6.59038657195204
"Small forward",-0.304845463225748,1.38339097751977,-3.27506711372851,2.26201725044882,-0.545731109230944,0.743415046113662,-1.99688734253283,0.903583363946522,6.65851406509036,2.7477763952782,1.35668853683808,12.6353721699302
"Point guard",-0.333080682266675,1.08526841534672,-2.87321128105977,1.615779964766,0.00917729849976471,0.532545902240587,-1.06069498748246,1.03183736687131,5.1347712405666,2.10023487164732,1.14819662340584,9.66493401936601
"Shooting guard",-0.329862965068623,1.15309124147771,-2.82259828692146,1.8730831017111,-0.181934279617293,0.591985936333408,-1.36860632824715,0.999136098285645,3.70483229031476,2.32734163785339,-0.918978265448923,8.59312556150034
"Player SD",1.12389812043457,0.408523075982414,0.604781401244237,2.11220530234577,0.597993224173018,0.185145406746712,0.34208917837414,1.06209149822958,2.19423087029742,1.00344545039572,0.946621559980294,4.59293767745857
