"parameter","mean","sd","q2.5","q97.5"
"Overall mean",2.61568735367453,0.22273715409394,2.17173102669595,3.00448484156472
"Autoregressive coefficient",0.0969217572106331,0.0110346674114758,0.0755626310196443,0.118819312296213
"Player SD",0.687661635866733,0.176554061188514,0.450961631451626,1.08938944914554
