"parameter","probability_positive_1PT","probability_positive_2PT","probability_positive_3PT"
"Intercept (center)",0.896333333333333,0.933333333333333,0.101666666666667
"Home",0.667,0.883666666666667,0.319
"Power forward",0.849333333333333,0.0323333333333333,0.780333333333333
"Point guard",0.926666666666667,0.087,0.83
"Small forward",0.961333333333333,0.0426666666666667,0.873
"Shooting guard",0.950666666666667,0.0243333333333333,0.811666666666667
